ID,NumClusters,TestCost,TrainCost,PredStrength,StableClusters,StablePoints
0,1,3383201.39,3383224.18,1.0000,1.00,1.0000
1,2,2919858.34,2919926.88,0.9985,1.00,1.0000
2,2,3121420.32,2919926.88,0.7160,0.50,0.0515
3,2,3183068.12,2919926.88,0.7241,0.50,0.0209
4,2,3121420.32,2919926.88,0.7160,0.50,0.0515
5,2,3182274.07,2919926.88,0.7166,0.00,0.0000
6,3,2675615.33,2721251.94,0.6903,0.67,0.2052
7,3,2723189.97,2723318.25,0.9995,1.00,1.0000
8,3,2929116.41,2706144.02,0.4768,0.33,0.0499
9,3,2943215.97,2723319.30,0.6351,0.33,0.2091
10,3,2707181.53,2908698.80,0.8800,1.00,1.0000
11,4,2482847.51,2549195.08,0.6948,0.50,0.1737
12,4,2767521.30,2602123.53,0.3925,0.00,0.0000
13,4,2721922.67,2514688.56,0.6227,0.25,0.0490
14,4,2467157.76,2467557.71,0.9967,1.00,1.0000
15,4,2606680.99,2483213.92,0.7592,0.75,0.8218
16,5,2581566.91,2371460.96,0.3622,0.20,0.0478
17,5,2531441.69,2344883.59,0.4739,0.20,0.0198
18,5,2300079.01,2300505.41,0.9923,1.00,1.0000
19,5,2443245.68,2297292.22,0.4689,0.20,0.1456
20,5,2452211.25,2312517.29,0.5785,0.40,0.1963
21,6,2449574.04,2117100.21,0.4780,0.50,0.0676
22,6,2157961.32,2241408.25,0.7001,0.67,0.8257
23,6,2194554.15,2151351.54,0.3569,0.50,0.3409
24,6,2288195.82,2173229.42,0.5025,0.67,0.7161
25,6,2201486.38,2627552.60,0.4752,0.33,0.2935
26,7,2020351.35,2180724.32,0.5071,0.57,0.6946
27,7,2058598.27,2104099.54,0.3609,0.57,0.7460
28,7,2209698.10,2127668.16,0.4532,0.29,0.0456
29,7,2078756.84,2427923.73,0.4720,0.29,0.2713
30,7,2085551.39,2042876.58,0.6137,0.71,0.7805
31,8,1946528.52,2053490.20,0.2948,0.38,0.2997
32,8,2030473.58,2069067.78,0.4471,0.13,0.0246
33,8,1895344.00,2015634.05,0.4794,0.25,0.2676
34,8,2000266.19,1999974.74,0.7059,0.63,0.6685
35,8,1915730.04,1916889.71,0.4392,0.38,0.1328
36,9,1906913.15,1875184.70,0.4897,0.22,0.0462
37,9,1843064.84,1885915.52,0.4537,0.33,0.2722
38,9,1882375.94,1862027.00,0.4833,0.44,0.4971
39,9,1862895.91,1737927.11,0.3350,0.44,0.1491
40,9,1832019.09,1890317.83,0.3969,0.56,0.6639
41,10,1657186.32,1749389.47,0.3170,0.40,0.2909
42,10,1729568.49,1742170.68,0.3979,0.70,0.6965
43,10,1898321.39,1680344.73,0.2564,0.40,0.1321
44,10,1720812.57,1816090.32,0.3816,0.30,0.1732
45,10,1914265.26,1900110.82,0.2538,0.60,0.7061
46,15,1618371.81,1426482.94,0.2095,0.40,0.1761
47,15,1507909.98,1365567.42,0.3107,0.60,0.4762
48,15,1514542.40,1291427.67,0.2855,0.47,0.2257
49,15,1402340.79,1300277.60,0.2146,0.47,0.1577
50,15,1411094.04,1368023.99,0.3931,0.40,0.1677
51,20,1168262.37,1261098.30,0.2558,0.55,0.6439
52,20,1207121.17,1190190.24,0.4427,0.75,0.7395
53,20,1184832.26,1237076.78,0.1473,0.55,0.6918
54,20,1249733.30,1201318.75,0.4666,0.40,0.3022
55,20,1240925.25,1204067.40,0.3467,0.30,0.1851
56,25,1116923.93,1102904.85,0.3340,0.56,0.7223
57,25,1120066.81,1094663.44,0.2705,0.56,0.6582
58,25,1150841.46,1133972.03,0.2455,0.20,0.0959
59,25,1122505.48,1254059.67,0.2580,0.32,0.3213
60,25,1071324.82,1142804.40,0.2154,0.28,0.1786
